para_id,x,y,row,col,word,sentence,word_index_in_sentence,sentence_length
0,380.0,272.0,0,0,  ,[CLS]    8月,-1,2
0,420.0,272.0,0,1,  ,[CLS]    8月,-2,2
0,460.0,272.0,0,2,8,  8月22日，,0,4
0,500.0,272.0,0,3,月,  8月22日，,1,4
0,540.0,272.0,0,4,22,  8月22日，,2,4
0,580.0,272.0,0,5,日,  8月22日，,3,4
0,620.0,272.0,0,6,，,22日，据,-1,1
0,660.0,272.0,0,7,据,，据央视新闻报道，,0,7
0,700.0,272.0,0,8,央,，据央视新闻报道，,1,7
0,740.0,272.0,0,9,视,，据央视新闻报道，,2,7
0,780.0,272.0,0,10,新,，据央视新闻报道，,3,7
0,820.0,272.0,0,11,闻,，据央视新闻报道，,4,7
0,860.0,272.0,0,12,报,，据央视新闻报道，,5,7
0,900.0,272.0,0,13,道,，据央视新闻报道，,6,7
0,940.0,272.0,0,14,，,报道，总台,-1,1
0,980.0,272.0,0,15,总,，总台记者目击，,0,6
0,1020.0,272.0,0,16,台,，总台记者目击，,1,6
0,1060.0,272.0,0,17,记,，总台记者目击，,2,6
0,1100.0,272.0,0,18,者,，总台记者目击，,3,6
0,1140.0,272.0,0,19,目,，总台记者目击，,4,6
0,1180.0,272.0,0,20,击,，总台记者目击，,5,6
0,1220.0,272.0,0,21,，,目击，天津市,-1,1
0,1260.0,272.0,0,22,天,，天津市位于南开区[SEP],0,8
0,1300.0,272.0,0,23,津,，天津市位于南开区[SEP],1,8
0,1340.0,272.0,0,24,市,，天津市位于南开区[SEP],2,8
0,1380.0,272.0,0,25,位,，天津市位于南开区[SEP],3,8
0,1420.0,272.0,0,26,于,，天津市位于南开区[SEP],4,8
0,1460.0,272.0,0,27,南,，天津市位于南开区[SEP],5,8
0,1500.0,272.0,0,28,开,，天津市位于南开区[SEP],6,8
0,1540.0,272.0,0,29,区,，天津市位于南开区[SEP],7,8
0,380.0,336.0,1,0,南,[CLS]南京路与万德庄南北街交口处的一栋大厦发生火情，,0,22
0,420.0,336.0,1,1,京,[CLS]南京路与万德庄南北街交口处的一栋大厦发生火情，,1,22
0,460.0,336.0,1,2,路,[CLS]南京路与万德庄南北街交口处的一栋大厦发生火情，,2,22
0,500.0,336.0,1,3,与,[CLS]南京路与万德庄南北街交口处的一栋大厦发生火情，,3,22
0,540.0,336.0,1,4,万,[CLS]南京路与万德庄南北街交口处的一栋大厦发生火情，,4,22
0,580.0,336.0,1,5,德,[CLS]南京路与万德庄南北街交口处的一栋大厦发生火情，,5,22
0,620.0,336.0,1,6,庄,[CLS]南京路与万德庄南北街交口处的一栋大厦发生火情，,6,22
